id,financescore,country,classsize,city,rating,totalscore,numericalstaff,staffstudentratio,approvals,academicscore,summary,techscore,citySafety,confidence,housingprovision,techecosystem,curriculum,staffcount,schoolname,worklifescore,noncontacttime,healthcoverage,image,Profit Status,salaryRange,Ownership,inspect,validated,profit status,ownership,citysafety,lastSync,scrapedJobsCount,scrapedJobsList,revalidationError,revalidationStatus,isRevalidating,revalidationCompletedAt,cachedStability,lastScrapedAt,website,agency,careersPageUrl,name,tesOrganizationId,tesEmployerSlug,updatedAt
"FLIS0054","7.8","Germany","18-22","Frankfurt","Good","8.5","220","1:8","IB, CIS, NEASC","9.3","Established MS hub.","9.0","7.8","9.3","Not Included","MS Enterprise","IB","220","Frankfurt Int'l","8.8","25%","Full Private","","Non-Profit","$2,655.00","Independent Board","CIS / NEASC","LFI","Non-Profit","Independent Board","7.8","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076661,""_nanoseconds"":400000000}","","2026-08-30T07:57:41.399Z","https://www.fis.edu/careers","Search Associates, ISS, LinkedIn","https://www.fis.edu/careers","Frankfurt Int'l","1277429","frankfurt-international-school-1277429","2026-08-30T16:14:23.676Z"
"FLIS0055","7.4","Spain","22-26","Alicante","Good","8.1","90","1:12","COBIS, BSO","8.6","British Standard leader.","8.0","8.2","8.2","Not Included","British Standard","British","90","King's College School Alicante","8.2","18%","Standard","","Non-Profit","$2,165.00","Parent Board","CIS / NEASC","LFI","Non-Profit","Inspired Education","8.2","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788179025,""_nanoseconds"":287000000}","{""schoolId"":""FLIS0055"",""schoolName"":""King's Alicante"",""category"":""INSIGHT_UNAVAILABLE"",""statusLabel"":""Low Turnover (Stable)"",""isUpdating"":false,""lastScrapedAt"":""2026-08-31T12:23:45.277Z"",""metrics"":{""estimatedStaffBase"":""90"",""totalKnownVacancies"":0,""estimatedChurnRatePercent"":0,""leadershipVacanciesCount"":0,""secondaryVacanciesCount"":0,""primaryVacanciesCount"":0,""riskRating"":""INSIGHT_UNAVAILABLE"",""leadershipChurnRatioPercent"":0,""averageYearlyTesAdverts"":0},""scrapedJobsList"":[],""vacancies_discovered"":[],""structured_vacancies"":[],""total_known_vacancies"":0,""estimated_churn_percentage"":0,""leadership_vacancies_count"":0,""secondary_vacancies_count"":0,""primary_vacancies_count"":0,""leopardfishIntelAlert"":""No active public vacancies have been detected for this institution within the current 12-month recruitment cycle. This indicates either an exceptionally high staff retention profile or the utilization of localized, non-indexed internal application portals. Quantitative stability metrics cannot be calculated at this time."",""churn_implications_commentary"":""No active public vacancies have been detected for this institution within the current 12-month recruitment cycle. This indicates either an exceptionally high staff retention profile or the utilization of localized, non-indexed internal application portals. Quantitative stability metrics cannot be calculated at this time."",""senior_leadership_churn_percentage"":0,""staffroom_commentary"":""No active public vacancies have been detected for this institution within the current 12-month recruitment cycle. This indicates either an exceptionally high staff retention profile or the utilization of localized, non-indexed internal application portals. Quantitative stability metrics cannot be calculated at this time.""}","2026-08-31T12:23:45.277Z","https://alicante.kingscollegeschool.es/careers/","Inspired Education Portal, LinkedIn","https://alicante.kingscollegeschool.es/careers/","King's College School Alicante","1055666","king-s-college-school-alicante-1055666","{""_seconds"":1788179192,""_nanoseconds"":304000000}"
"FLIS0056","7.5","Italy","20-24","Rome","Good","8.0","100","1:11","IB, COBIS","8.9","Respected Rome hybrid.","8.2","7.2","8.4","Not Included","Mixed Ecosystem","British / IB","100","St George's Rome","8.0","20%","Full Private","","For-Profit","$1,940.00","Inspired Education","BSO","LFI","For-Profit","Independent Non-Profit","7.2","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076626,""_nanoseconds"":230000000}","","2026-08-30T07:57:06.229Z","https://www.stgeorge.it/careers","Schrole, Direct SchoolRecruiter","https://www.stgeorge.it/careers","St George's Rome","1058020","st-george-s-british-international-school-rome-1058020","{""_seconds"":1788178944,""_nanoseconds"":119000000}"
"FLIS0057","7.6","Spain","20-22","Barcelona","Good","8.1","110","1:10","IB, CIS","8.7","iPad Integrated hub.","8.5","7.4","8.3","Not Included","iPad Integrated","British / IB / Spanish","110","Oak House BCN","8.4","22%","Standard","","Non-Profit","$1,940.00","Independent Board","BSO","LFI","Non-Profit","Independent Board","7.4","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788284774,""_nanoseconds"":66000000}","{""schoolId"":""FLIS0057"",""schoolName"":""Oak House BCN"",""category"":""LOW_TURNOVER"",""statusLabel"":""Low Turnover (Stable)"",""isUpdating"":false,""lastScrapedAt"":""2026-09-01T17:44:44.822Z"",""metrics"":{""estimatedStaffBase"":60,""totalKnownVacancies"":3,""estimatedChurnRatePercent"":5,""leadershipVacanciesCount"":0,""secondaryVacanciesCount"":2,""primaryVacanciesCount"":1,""riskRating"":""LOW"",""leadershipChurnRatioPercent"":0,""averageYearlyTesAdverts"":3},""scrapedJobsList"":[""Chemistry Teacher (Posted: 2026-08-31T15:30:35.345Z) - Globeducate"",""Primary Native Teacher - September 2026 (Posted: 2026-08-31T15:30:35.347Z) - Globeducate"",""Jefe/a de Administración (Posted: 2026-08-31T15:53:16.556Z) - Globeducate"",""Chemistry Teacher (Posted: Recently; Closes: [object Object]) - Globeducate"",""Primary Native Teacher - September 2026 (Posted: Recently; Closes: [object Object]) - Globeducate"",""Jefe/a de Administración (Posted: Recently; Closes: [object Object]) - Globeducate""],""vacancies_discovered"":[{""title"":""Jefe/a de Administración"",""department"":""Secondary"",""source"":""Globeducate"",""source_url"":""https://www.oak-house-bcn.com"",""date_listed"":""2026-08-31T15:53:16.556Z"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Primary Native Teacher - September 2026"",""department"":""Primary"",""source"":""Globeducate"",""source_url"":""https://www.oak-house-bcn.com"",""date_listed"":""2026-08-31T15:30:35.347Z"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Chemistry Teacher"",""department"":""Secondary"",""source"":""Globeducate"",""source_url"":""https://www.oak-house-bcn.com"",""date_listed"":""2026-08-31T15:30:35.345Z"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""}],""structured_vacancies"":[{""title"":""Jefe/a de Administración"",""department"":""Secondary"",""source"":""Globeducate"",""source_url"":""https://www.oak-house-bcn.com"",""date_listed"":""2026-08-31T15:53:16.556Z"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Primary Native Teacher - September 2026"",""department"":""Primary"",""source"":""Globeducate"",""source_url"":""https://www.oak-house-bcn.com"",""date_listed"":""2026-08-31T15:30:35.347Z"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Chemistry Teacher"",""department"":""Secondary"",""source"":""Globeducate"",""source_url"":""https://www.oak-house-bcn.com"",""date_listed"":""2026-08-31T15:30:35.345Z"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""}],""total_known_vacancies"":3,""estimated_churn_percentage"":5,""leadership_vacancies_count"":0,""secondary_vacancies_count"":2,""primary_vacancies_count"":1,""leopardfishIntelAlert"":""Leopardfish Multi-Engine Audit: Stable retention pattern with 3 active vacancies detected across TES, GRC Search, and official school portals."",""churn_implications_commentary"":""Leopardfish Multi-Engine Audit: Stable retention pattern with 3 active vacancies detected across TES, GRC Search, and official school portals."",""senior_leadership_churn_percentage"":0}","2026-09-01T17:44:44.822Z","https://www.oakhouseschool.com/careers","LinkedIn, InfoJobs Spain","https://www.oakhouseschool.com/careers","Oak House BCN","1057767","oak-house-school-1057767","2026-08-30T16:14:23.676Z"
"FLIS0058","8.0","Switzerland","18-22","Lausanne","Good","8.9","140","1:8","IB, CIS, NEASC","9.4","High-perf Canvas hub.","9.0","9.5","9.2","Not Included","Canvas/Mac","IB","140","IS Lausanne","8.5","25%","Premium","","Non-Profit","$4,095.00","Parent Foundation","BSO","LFI","Non-Profit","Parent Foundation","9.5","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076659,""_nanoseconds"":971000000}","","2026-08-30T07:57:39.970Z","https://www.isl.ch/careers","Search Associates, LinkedIn","https://www.isl.ch/careers","IS Lausanne","","","2026-08-30T16:14:23.676Z"
"FLIS0059","7.9","Belgium","18-22","Waterloo","Good","8.5","110","1:9","IB, CIS, MSA","8.8","Respected Google hub.","8.4","8.8","8.5","Not Included","Google Workspace","US / IB","110","St John's Waterloo","8.6","25%","Standard","","Non-Profit","$2,255.00","Parent Foundation","CIS / NEASC","LFI","Non-Profit","Parent Foundation","8.8","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076659,""_nanoseconds"":807000000}","","2026-08-30T07:57:39.805Z","https://www.stjohns.be/careers","Inspired Education Portal, Search Associates, LinkedIn","https://www.stjohns.be/careers","St John's Waterloo","1057076","st-john-s-international-school-1057076","2026-08-30T16:14:23.676Z"
"FLIS0060","8.1","Switzerland","12-15","Villars","Good","8.8","80","1:4","IB, CIS","9.2","Premium Media Hub.","9.2","9.8","9.1","Provided","Premium Media Hub","IB / French / US","80","Beau Soleil","7.8","20%","Premium","","For-Profit","$4,155.00","Inspired Education","CIS","LFI","For-Profit","Nord Anglia Education","9.8","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076652,""_nanoseconds"":292000000}","","2026-08-30T07:57:32.290Z","https://www.nordangliaeducation.com/beau-soleil/careers","Nord Anglia Careers Portal, TES","https://www.nordangliaeducation.com/beau-soleil/careers","Beau Soleil","1057796","coll-ge-alpin-beau-soleil-sa-1057796","{""_seconds"":1788178942,""_nanoseconds"":490000000}"
"FLIS0061","7.4","Czechia","20","Prague","Leading","7.9","65","1:10","HMC / IB","8.8","Distinguished Academic","7.5","9.5","8.6","Not Included","Google / G-Suite","IGCSE / IB DP","70","English College Prague","7.5","19","VZP+","https://www.englishcollege.cz/wp-content/uploads/2019/10/Open-Days.jpg","Non-Profit","$2,430","ECP Foundation","BSO / CSI","LFI","Non-Profit","ECP Foundation","9.5","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788188805,""_nanoseconds"":157000000}","{""schoolId"":""FLIS0061"",""schoolName"":""English College Prague"",""category"":""LOW_TURNOVER"",""statusLabel"":""Low Turnover (Stable)"",""isUpdating"":false,""lastScrapedAt"":""2026-08-31T15:06:43.804Z"",""metrics"":{""estimatedStaffBase"":""65"",""totalKnownVacancies"":6,""estimatedChurnRatePercent"":9,""leadershipVacanciesCount"":0,""secondaryVacanciesCount"":6,""primaryVacanciesCount"":0,""riskRating"":""LOW"",""leadershipChurnRatioPercent"":0,""averageYearlyTesAdverts"":6},""scrapedJobsList"":[""What our teachers say (Posted: Recently; Closes: [object Object]) - School Web"",""Inspection Reports (Posted: Recently; Closes: [object Object]) - School Web"",""Real Life Experiences (Posted: Recently; Closes: [object Object]) - School Web"",""Work experience for ECP students (Posted: Recently; Closes: [object Object]) - School Web"",""Teacher Training (Posted: Recently; Closes: [object Object]) - School Web"",""ECP People (Posted: Recently; Closes: [object Object]) - School Web""],""vacancies_discovered"":[{""title"":""What our teachers say"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Inspection Reports"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Real Life Experiences"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Work experience for ECP students"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Teacher Training"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""ECP People"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""}],""structured_vacancies"":[{""title"":""What our teachers say"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Inspection Reports"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Real Life Experiences"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Work experience for ECP students"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Teacher Training"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""ECP People"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.english-college-prague.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""}],""total_known_vacancies"":6,""estimated_churn_percentage"":9,""leadership_vacancies_count"":0,""secondary_vacancies_count"":6,""primary_vacancies_count"":0,""leopardfishIntelAlert"":""Leopardfish Multi-Engine Audit: Stable retention pattern with 6 active vacancies detected across TES, GRC Search, and official school portals."",""churn_implications_commentary"":""Leopardfish Multi-Engine Audit: Stable retention pattern with 6 active vacancies detected across TES, GRC Search, and official school portals."",""senior_leadership_churn_percentage"":0}","2026-08-31T15:06:43.804Z","https://www.englishcollege.cz/careers/","Search Associates, LinkedIn","https://www.englishcollege.cz/careers/","English College Prague","1058144","english-college-in-prague-1058144","2026-08-30T16:14:23.676Z"
"FLIS0062","7.5","Italy","20-24","Milan","Good","8.2","100","1:10","IB, MSA","8.7","Tech-forward Apple.","9.2","7.0","8.8","Not Included","1:1 Apple","US / IB","100","American Milan","8.6","25%","Full Private","","Non-Profit","$2,205.00","Foundation","BSO","LFI","Non-Profit","Foundation","7.0","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076631,""_nanoseconds"":54000000}","","2026-08-30T07:57:11.053Z","https://www.asmilan.org/careers","Search Associates, ISS, LinkedIn","https://www.asmilan.org/careers","American Milan","","","2026-08-30T16:14:23.676Z"
"FLIS0063","8.0","Switzerland","15-18","Montreux","Good","8.7","90","1:6","IB, CIS","9.1","Premium British boarding.","8.8","9.6","9.1","Provided","Microsoft/Canvas","British / IB","90","St George's Montreux","7.8","20%","Premium","","Non-Profit","$3,705.00","Association Board","MSA","LFI","Non-Profit","Association Board","9.6","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076643,""_nanoseconds"":681000000}","","2026-08-30T07:57:23.680Z","https://www.stgeorges.ch/careers","Inspired Education Portal, LinkedIn","https://www.stgeorges.ch/careers","St George's Montreux","1057262","st-george-s-international-school-1057262","2026-08-30T16:14:23.676Z"
"FLIS0064","7.4","Portugal","20-25","Lisbon","Good","8.4","150","1:10","IB","8.4","Innovation leader.","9.0","8.8","8.0","Not Included","iPad Integrated","IB / Portuguese","150","PaRK International School","8.5","20%","Standard","","For-Profit","$1,800.00","Inspired Education","CIS","LFI","For-Profit","Inspired Education","8.8","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788181950,""_nanoseconds"":302000000}","{""schoolId"":""FLIS0064"",""schoolName"":""PaRK International School"",""category"":""MODERATE_TURNOVER"",""statusLabel"":""Moderate Turnover (Healthy)"",""isUpdating"":false,""lastScrapedAt"":""2026-08-31T13:11:51.856Z"",""metrics"":{""estimatedStaffBase"":""150"",""totalKnownVacancies"":15,""estimatedChurnRatePercent"":10,""leadershipVacanciesCount"":2,""secondaryVacanciesCount"":10,""primaryVacanciesCount"":3,""riskRating"":""MODERATE"",""leadershipChurnRatioPercent"":25,""averageYearlyTesAdverts"":15},""scrapedJobsList"":[""Head of Boarding (Posted: Recently; Closes: 2027-02-27) - TES"",""Deputy Head Pastoral (Posted: 2026-08-16T23:00:00.000Z; Closes: 2027-01-25) - TES"",""Head of Computer Science and ICT (Posted: 2026-08-31) - Inspired Education"",""Head of BoardingPaRK International School - Alfragide, LisbonJob Title: Head of BoardingLocation: PaRK International School – Alfragide Campus Position OverviewThe Head of Boarding at PaRK International School Alfragide will hold high-level responsibility for the leadership, administration, and pastoral... (Posted: Recently; Closes: [object Object]) - TES"",""Deputy Head Pastoral (Posted: Recently; Closes: [object Object]) - TES"",""Open Days (Posted: Recently; Closes: [object Object]) - School Web"",""Primary English Teacher (Aug 2026; Posted: N/A; Closes: N/A) (Posted: Recently; Closes: 2023-09-01) - Tes"",""Internship Programme (Posted: Recently; Closes: [object Object]) - School Web"",""Deputy Head PastoralPaRK International School - Alfragide, Lisbon - AlfragideInspired Education is the leading global group of premium schools, with a portfolio of over 125 premium private schools spanning six continents. Inspired schools draw on proven educational practices from around the world to provide more than... (Posted: Recently; Closes: [object Object]) - TES"",""Head of Computer Science and ICT (Posted: Recently) - Inspired Education"",""Unsolicited Applications - The British School - Academic Positions (Posted: Recently) - Inspired Education"",""Unsolicited Applications - The British School - Administration & Support Services (Posted: Recently) - Inspired Education"",""Profesor/a de infantil (Posted: Recently) - Inspired Education"",""A Level Economics Teacher (Posted: Recently) - Inspired Education"",""Early Years Teacher (Posted: Recently) - Inspired Education"",""Auxiliar de limpieza y comedor (Posted: Recently) - Inspired Education"",""Catering Individual Contributor (Posted: Recently) - Inspired Education"",""Early Years Practitioner (Posted: Recently) - Inspired Education"",""Head of Boarding (Posted: Recently; Closes: [object Object]) - TES"",""Pedido de informações (Posted: Recently; Closes: [object Object]) - School Web"",""Homeroom Teacher English Stream (Posted: Recently; Closes: [object Object]) - Tes"",""Primary English Teacher (Posted: Recently; Closes: [object Object]) - Tes""],""vacancies_discovered"":[{""title"":""Head of Computer Science and ICT"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""2026-08-31"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Deputy Head Pastoral"",""department"":""Leadership"",""source"":""TES"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""2026-08-16T23:00:00.000Z"",""date_closing"":""2027-01-25"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Head of Boarding"",""department"":""Leadership"",""source"":""TES"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":""2027-02-27"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Primary English Teacher"",""department"":""Primary"",""source"":""Tes"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""N/A"",""date_closing"":""N/A"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Internship Programme"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Unsolicited Applications - The British School - Academic Positions"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Unsolicited Applications - The British School - Administration & Support Service"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Profesor/a de infantil"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""A Level Economics Teacher"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Early Years Teacher"",""department"":""Primary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Auxiliar de limpieza y comedor"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Catering Individual Contributor"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Early Years Practitioner"",""department"":""Primary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Pedido de informações"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Homeroom Teacher English Stream"",""department"":""Secondary"",""source"":""Tes"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""}],""structured_vacancies"":[{""title"":""Head of Computer Science and ICT"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""2026-08-31"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Deputy Head Pastoral"",""department"":""Leadership"",""source"":""TES"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""2026-08-16T23:00:00.000Z"",""date_closing"":""2027-01-25"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Head of Boarding"",""department"":""Leadership"",""source"":""TES"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":""2027-02-27"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Primary English Teacher"",""department"":""Primary"",""source"":""Tes"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""N/A"",""date_closing"":""N/A"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Internship Programme"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Unsolicited Applications - The British School - Academic Positions"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Unsolicited Applications - The British School - Administration & Support Service"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Profesor/a de infantil"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""A Level Economics Teacher"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Early Years Teacher"",""department"":""Primary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Auxiliar de limpieza y comedor"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Catering Individual Contributor"",""department"":""Secondary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Early Years Practitioner"",""department"":""Primary"",""source"":""Inspired Education"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":null,""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Pedido de informações"",""department"":""Secondary"",""source"":""School Web"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""},{""title"":""Homeroom Teacher English Stream"",""department"":""Secondary"",""source"":""Tes"",""source_url"":""https://www.park-international-school.com"",""date_listed"":""Recently"",""date_closing"":""[object Object]"",""status"":""OPEN"",""recruitmentCycle"":""CURRENT""}],""total_known_vacancies"":15,""estimated_churn_percentage"":10,""leadership_vacancies_count"":2,""secondary_vacancies_count"":10,""primary_vacancies_count"":3,""leopardfishIntelAlert"":""Leopardfish Multi-Engine Audit: Stable retention pattern with 15 active vacancies detected across TES, GRC Search, and official school portals."",""churn_implications_commentary"":""Leopardfish Multi-Engine Audit: Stable retention pattern with 15 active vacancies detected across TES, GRC Search, and official school portals."",""senior_leadership_churn_percentage"":25}","2026-08-31T13:11:51.856Z","https://www.park-is.com/careers/","Inspired Education Portal, LinkedIn","https://www.park-is.com/careers/","PaRK International School","1179041","park-international-school-alfragide-1179041","{""_seconds"":1788179409,""_nanoseconds"":362000000}"
"FLIS0065","8.8","Switzerland","18-20","Zurich","Good","9.2","200","1:8","IB, CIS, NEASC","9.5","Premium Swiss IB hub.","9.4","9.6","9.6","Not Included","1:1 Macbook","IB / US","200","Zurich Int'l","8.7","25%","Premium","","For-Profit","$4,475.00","Inspired Education","CIS","LFI","For-Profit","Independent Non-Profit","9.6","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076652,""_nanoseconds"":262000000}","","2026-08-30T07:57:32.260Z","https://www.zis.ch/careers","ZIS Direct Portal, SGIS Board","https://www.zis.ch/careers","Zurich Int'l","","","{""_seconds"":1788178943,""_nanoseconds"":289000000}"
"FLIS0066","8.2","Belgium","18-22","Brussels","Good","8.4","180","1:7","IB, COBIS, CIS","9.4","Elite MS/Canvas hub.","8.6","7.0","9.3","Not Included","Microsoft/Canvas","British / IB","180","British Brussels","8.8","25%","Full Private","","Non-Profit","$2,565.00","Independent Board","CIS / NEASC","LFI","Non-Profit","Independent Board","7.0","2026-05-26T10:41:07.832Z","0","[]","","success","true","{""_seconds"":1788076651,""_nanoseconds"":953000000}","","2026-08-30T07:57:31.951Z","https://www.britishschool.be/careers","Search Associates, LinkedIn","https://www.britishschool.be/careers","British Brussels","1057727","the-british-school-of-brussels-1057727","2026-08-30T16:14:23.676Z"
